q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
Is it a positive emotion?	e.valence==positive	is it a positive emotion	is {e:it} a positive emotion 	{e:it} is a positive emotion 	NULL	NULL	9
Is it directed at another person?	directed(e,otherPerson)	is it directed at another person	is {e:it} directed at {beneficiary:another person}	{e:it} is directed at another person	NULL	NULL	1
is it angry?	e==anger	is it angry	is {e:it} {emotion:angry}	{e:it} is angry	NULL	NULL	2
is it something one feels for long periods of time?	e.duration==long	is it something one feels for long periods of time	is {e:it} something {experiencer:one} {feel:feels} for {duration:long periods of time}	{e:it} is something that one feels for {duration:long periods of time}	NULL	NULL	1
is it similar to anger?	similar(e,anger)	is it similar to anger	is {e:it} similar to {emotion:anger}	{e:it} is similar to anger	NULL	NULL	2
Is the emotion usually caused by certain situations (as opposed to just popping up in your mind)?	cause(something,e)	is the emotion usually caused by certain situations as opposed to just popping up in your mind	is {e:the emotion} {modal:usually} caused by {situation:certain situations} {clarification:as opposed to just popping up in your mind}	{e:the emotion} is usually caused by certain situations (as opposed to just popping up in your mind)	NULL	NULL	1
is it regret?	e==regret	is it regret	is {e:it} {emotion:regret}	{e:it} is regret	NULL	NULL	3
guilt?	e==guilt	guilt	{emotion:guilt}	{e:it} is guilt	NULL	NULL	1
fustration	e==frustration	frustration	{emotion:frustration}	{e:it} is frustration	NULL	NULL	1
Jealousy?	e==jealousy	jealousy	{emotion:jealousy}	{e:it} is jealousy	NULL	NULL	1
is the emotion directed towards another person?	directed(e,otherPerson)	is the emotion directed towards another person	is {e:the emotion} directed towards {beneficiary:another person}	{e:the emotion} is directed towards another person	NULL	NULL	1
is communication with another person likely to occur as a result of the emotion?	cause(e,communication)	is communication with another person likely to occur as a result of the emotion	is {event:communication with another person} {modal:likely} {cause-by:to occur as a result of} {e:the emotion}	communication with another person is likely to occur as a result of {e:the emotion}	NULL	NULL	1
is the emotion more likely to occur when you are tired?	self.situation(e,tired)	is the emotion more likely to occur when you are tired	is {e:the emotion} {modal:more likely} to occur {situation:when {experiencer:you} are tired}?	{e:the emotion} is more likely to occur when you are tired	NULL	NULL	1
is it an emotion that you feel at least once every one or two days?	e.frequency==regularly	is it an emotion that you feel at least once every one or two days	is {e:it} an emotion that {experiencer:you} feel {modal:at least} {frequency:once every one or two days}	{e:it} is an emotion that you feel at least once every one or two days	NULL	NULL	1
is it interest? / interested?	e==interest	is it interest or interested	is {e:it} {emotion:interest} or {emotion:interested}	{e:it} is interest/interested	NULL	NULL	1
is it a powerful emotion?	e.activation==high	is it a powerful emotion	is {e:it} a powerful emotion	{e:it} is a powerful emotion	NULL	NULL	1
is it surprise?	e==surprise	is it surprise	is {e:it} {emotion:surprise}	{e:it} is surprise	NULL	NULL	3
is it an emotion that can be directed at another person?	directed(e,otherPerson)	is it an emotion that can be directed at another person	is {e:it} an emotion that can be directed at {beneficiary:another person}	{e:it} is an emotion that can be directed at another person	NULL	NULL	1
is it necessarily directed at someone?	necessary(directed(e,otherPerson))	is it necessarily directed at someone	is {e:it} {modal:necessarily} directed at {beneficiary:someone}	{e:it} is necessarily directed at someone	NULL	NULL	1
is it an emotion that lasts a long time, generally? 4	e.duration==long	is it an emotion that lasts a long time generally 4	is {e:it} an emotion that lasts {duration:a long time} {modal:generally} {qnum:4} 	{e:it} is an emotion that lasts a long time generally	NULL	NULL	1
is it caused by the person that it's directed at?	cause(otherPerson,e)	is it caused by the person that it's directed at	is {e:it} {cause-by:caused by} {agent:the person that it's directed at}	{e:it} is caused by the person that {e:it's} directed at	NULL	NULL	1
6: is it a strong emotion?	e.activation==high	6 is it a strong emotion	{qnum:6} is {e:it} a strong emotion	{e:it} is a strong emotion	NULL	NULL	1
is it usually caused by something in particular (as opposed to being spontaneously popping up)?	cause(something,e)	is it usually caused by something in particular as opposed to being spontaneously popping up	is {e:it} {modal:usually} {cause-by:caused by} something in particular {clarification:as opposed to being spontaneously popping up}	{e:it} is usually caused by something in particular as opposed to being spontaneously popping up	NULL	NULL	1
